text,font_size,is_bold,is_italic,relative_font_size,x_position_normalized,is_centered,space_below,text_length,is_all_caps,starts_with_numbering,line_height,span_count,label
"提供基础，而非遮蔽。",11.039999961853027,0,0,1.1,0.186,0,0.0,46,0,0,132.7410888671875,1,Body
"ODL 设想的服务包括：",11.039999961853027,0,0,1.1,0.147,0,0.0,42,0,0,157.9454345703125,1,Body
"访问：",11.039999961853027,1,1,1.1,0.147,0,0.0,7,0,0,183.27117919921875,1,H3
"到“深层”网络（即商业性、购买的电子服务）",11.039999961853027,0,0,1.1,0.176,0,0.0,66,0,0,195.9892578125,1,Body
"访问可信的网站和电子资源",11.039999961853027,0,0,1.1,0.176,0,0.0,46,0,0,208.58587646484375,1,Body
"获取数字政府信息",11.039999961853027,0,0,1.1,0.176,0,0.0,33,0,0,221.1824951171875,1,Body
"访问本地数字馆藏",11.039999961853027,0,0,1.1,0.176,0,0.0,28,0,0,233.90057373046875,1,Body
"指导与建议：",11.039999961853027,1,1,1.1,0.147,0,0.0,20,0,0,259.2264404296875,1,H3
"支持电子学习",11.039999961853027,0,0,1.1,0.176,0,0.0,21,0,0,271.82305908203125,1,Body
"实时支持公民使用电子资源",11.039999961853027,0,0,1.1,0.176,0,0.0,74,0,0,284.5411376953125,1,Body
"协助市民使用网页链接",11.039999961853027,0,0,1.1,0.176,0,0.0,40,0,0,297.1377868652344,1,Body
"培训：",11.039999961853027,1,1,1.1,0.147,0,0.0,9,0,0,309.73443603515625,1,H3
"为图书馆工作人员",11.039999961853027,0,0,1.1,0.176,0,0.0,19,0,0,322.4525146484375,1,Body
"为公众",11.039999961853027,0,0,1.1,0.176,0,0.0,22,0,0,335.0491638183594,1,Body
"省级采购与许可：",11.039999961853027,1,1,1.1,0.147,0,0.0,34,0,0,360.3749084472656,1,H3
"以联合采购方式为所有成员图书馆提供电子内容",11.039999961853027,0,0,1.1,0.176,0,0.0,67,0,0,372.9715576171875,1,Body
"技术支持：",11.039999961853027,1,1,1.1,0.147,0,0.0,22,0,0,398.29730224609375,1,H3
"保存和存档本地数字内容的通用标准",11.039999961853027,0,0,1.1,0.176,0,0.0,76,0,0,411.015380859375,1,Body
"ODL 资源和服务的通用界面，可嵌入本地",11.039999961853027,0,0,1.1,0.176,0,0.0,81,0,0,423.6120300292969,1,Body
"图书馆网站",11.039999961853027,0,0,1.1,0.176,0,0.0,17,0,0,436.20867919921875,1,Body
"ODL 真正能带来什么？",11.039999961853027,0,0,1.1,0.147,0,0.0,31,0,0,478.32623291015625,1,H3
"对每一位安大略省公民来说，这可能意味着：",11.039999961853027,1,0,1.1,0.147,0,0.0,39,0,0,503.7624206542969,1,H4
"一个本地入口点，可无缝访问电子图书馆服务和",11.039999961853027,0,0,1.1,0.265,0,0.0,75,0,0,516.6019287109375,1,Body
"满足个人、教育和专业需求的资源；",11.039999961853027,0,0,1.1,0.265,0,0.0,65,0,0,529.1986083984375,1,Body
"通过他们的渠道获得可信、高质量、用户友好的电子服务",11.039999961853027,0,0,1.1,0.265,0,0.0,81,0,0,541.9166259765625,1,Body
"社区、学校或学术图书馆；",11.039999961853027,0,0,1.1,0.265,0,0.0,39,0,0,554.5133056640625,1,Body
"相信他们——以及他们的孩子——所使用的电子服务和资源",11.039999961853027,0,0,1.1,0.265,0,0.0,77,0,0,567.10986328125,1,Body
"– 安全、有效，并为他们带来全球和本地的",11.039999961853027,0,0,1.1,0.265,0,0.0,68,0,0,579.8279418945312,1,Body
"观点；",11.039999961853027,0,0,1.1,0.265,0,0.0,13,0,0,592.4246215820312,1,Body
"提升工作技能和学习的电子信息和工具",11.039999961853027,0,0,1.1,0.265,0,0.0,73,0,0,605.1427001953125,1,Body
"经验",11.039999961853027,0,0,1.1,0.265,0,0.0,10,0,0,617.7393798828125,1,Body
"对于每一位安大略省的学生来说，这可能意味着：",11.039999961853027,1,0,1.1,0.147,0,0.0,39,0,0,642.215087890625,1,H4
"一个本地入口，提供优质、基于课程的电子信息",11.039999961853027,0,0,1.1,0.265,0,0.0,77,0,0,655.0545654296875,1,Body
"资源与服务",11.039999961853027,0,0,1.1,0.265,0,0.0,22,0,0,667.6512451171875,1,Body
"连接到他们各自的教育环境，无论是在",11.039999961853027,0,0,1.1,0.265,0,0.0,70,0,0,680.3693237304688,1,Body
"中小学或大专院校",11.039999961853027,0,0,1.1,0.265,0,0.0,46,0,0,692.9659423828125,1,Body
"RFP：制定安大略数字图书馆商业计划",7.559999942779541,1,1,0.76,0.147,0,0.0,57,0,0,740.8800048828125,1,Body
"2003年3月",7.559999942779541,1,1,0.76,0.485,1,0.0,10,0,0,740.8800048828125,1,Body
"5555",9.0,1,1,0.9,0.844,0,0.0,4,0,0,740.8798828125,1,Body
"相信人们正在使用的服务和资源是可信的，",11.039999961853027,0,0,1.1,0.265,0,0.0,73,0,0,82.20001220703125,1,Body
"在他们需要时可用，并能适应不同的学习方式",11.039999961853027,0,0,1.1,0.265,0,0.0,72,0,0,94.796630859375,1,Body
"对每个安大略图书馆来说，这可能意味着：",11.039999961853027,1,0,1.1,0.147,0,0.0,39,0,0,120.0009765625,1,H4
"为他们自己和他们的客户提供高质量电子产品的单一入口",11.039999961853027,0,0,1.1,0.265,0,0.0,75,0,0,132.84051513671875,1,Body
"支持和增强其馆藏、项目的资源和服务",11.039999961853027,0,0,1.1,0.265,0,0.0,75,0,0,145.4371337890625,1,Body
"和服务",11.039999961853027,0,0,1.1,0.265,0,0.0,12,0,0,158.03375244140625,1,Body
"展示当地社区、馆藏、服务和",11.039999961853027,0,0,1.1,0.265,0,0.0,78,0,0,170.7518310546875,1,Body
"专业知识",11.039999961853027,0,0,1.1,0.265,0,0.0,9,0,0,183.34844970703125,1,Body
"从省级合作中获益的机会，以便",11.039999961853027,0,0,1.1,0.265,0,0.0,79,0,0,196.06646728515625,1,Body
"提供一个通往数字资源和服务的无缝门户",11.039999961853027,0,0,1.1,0.265,0,0.0,63,0,0,208.6630859375,1,Body
"对安大略省政府来说，这可能意味着：",11.039999961853027,1,0,1.1,0.147,0,0.0,41,0,0,233.8675537109375,1,H4
"A",11.039999961853027,1,1,1.1,0.265,0,0.0,1,1,0,246.58563232421875,1,Body
"为所有安大略省公民提供信息服务和资源的入口点，",11.039999961853027,0,0,1.1,0.276,0,0.0,78,0,0,246.58563232421875,1,Body
"连接到门户倡议",11.039999961853027,0,0,1.1,0.265,0,0.0,32,0,0,259.3037109375,1,Body
"。",11.039999961853027,1,1,1.1,0.488,1,0.0,1,0,0,259.3037109375,1,Body
"通过合作数字化支持安大略省电子学习战略",11.039999961853027,0,0,1.1,0.265,0,0.0,74,0,0,271.90032958984375,1,Body
"将安大略定位在全球电子学习舞台上的图书馆倡议",11.039999961853027,0,0,1.1,0.265,0,0.0,72,0,0,284.618408203125,1,Body
"为所有年龄和阶段的学生提供更好的入学机会和灵活性",11.039999961853027,0,0,1.1,0.265,0,0.0,71,0,0,297.2150573730469,1,Body
"（支持安大略省的终身学习战略）",11.039999961853027,0,0,1.1,0.265,0,0.0,47,0,0,309.81170654296875,1,Body
"解决新兴工作技能短缺问题和促进学校发展的机会",11.039999961853027,0,0,1.1,0.265,0,0.0,78,0,0,322.52978515625,1,Body
"提供必要的信息和",11.039999961853027,0,0,1.1,0.265,0,0.0,69,0,0,335.1264343261719,1,Body
"知识支持和工具",11.039999961853027,0,0,1.1,0.265,0,0.0,28,0,0,347.8445129394531,1,Body
"ODL将是一个由选举产生的董事会管理的非营利性注册组织",11.039999961853027,0,0,1.1,0.147,0,0.0,92,0,0,373.048828125,1,Body
"由有投票权的成员组成。董事会将包括所有利益相关方的代表。我们",11.039999961853027,0,0,1.1,0.147,0,0.0,88,0,0,385.7668762207031,1,Body
"设想一个类似于为该省ORION网络准备的治理模式。",11.039999961853027,0,0,1.1,0.147,0,0.0,86,0,0,398.363525390625,1,Body
"有关设想的阶段、资金和所需资源的更多信息",11.039999961853027,0,0,1.1,0.147,0,0.0,89,0,0,423.08209228515625,1,Body
"ODL 可以在附录中找到。",11.039999961853027,0,0,1.1,0.147,0,0.0,35,0,0,435.6787414550781,1,Body
"待制定的商业计划",12.0,0,0,1.2,0.157,0,0.0,33,0,0,472.32000732421875,1,H2
"需要为ODL制定的商业计划必须是一份正式的商业计划",11.039999961853027,0,0,1.1,0.147,0,0.0,88,0,0,513.5999145507812,1,Body
"记录并清晰传达ODL的服务、资金和治理",11.039999961853027,0,0,1.1,0.147,0,0.0,82,0,0,526.196533203125,1,Body
"结构，以及 2004-2005 年的实施计划和 2005 年的运营计划-",11.039999961853027,0,0,1.1,0.147,0,0.0,90,0,0,538.793212890625,1,Body
"2007年。规划过程还必须获得所有利益相关方的全面承诺，如",11.039999961853027,0,0,1.1,0.147,0,0.0,87,0,1,551.5112915039062,1,Body
"由指导委员会代表。",11.039999961853027,0,0,1.1,0.147,0,0.0,38,0,0,564.10791015625,1,Body
"具体而言，商业计划必须包括：",11.039999961853027,0,0,1.1,0.147,0,0.0,45,0,0,588.2303466796875,1,Body
"ODL 将如何实施，包括时间表",11.039999961853027,0,0,1.1,0.216,0,0.0,55,0,0,613.5560913085938,1,Body
"实施的财务计划",11.039999961853027,0,0,1.1,0.216,0,0.0,41,0,0,626.274169921875,1,Body
"前两个运营年度的财务计划，包括资本和运营成本，",11.039999961853027,0,0,1.1,0.216,0,0.0,90,0,0,638.8707885742188,1,Body
"收入等",11.039999961853027,0,0,1.1,0.221,0,0.0,14,0,0,651.4674072265625,1,Body
"接下来两个运营年度的财务预测",11.039999961853027,0,0,1.1,0.216,0,0.0,57,0,0,664.185546875,1,Body
"ODL 将提供的服务和产品",11.039999961853027,0,0,1.1,0.216,0,0.0,52,0,0,676.7821655273438,1,Body
"ODL 在实施后将如何运作和管理",11.039999961853027,0,0,1.1,0.216,0,0.0,68,0,0,689.500244140625,1,Body
"谁将参与其中，以及他们在两个方面将扮演什么角色/承担什么责任",11.039999961853027,0,0,1.1,0.216,0,0.0,78,0,0,702.0968627929688,1,Body
"实施和运营阶段",11.039999961853027,0,0,1.1,0.213,0,0.0,37,0,0,714.6934814453125,1,Body
"RFP：制定安大略数字图书馆商业计划",7.559999942779541,1,1,0.76,0.147,0,0.0,57,0,0,740.8800048828125,1,Body
"2003年3月",7.559999942779541,1,1,0.76,0.485,1,0.0,10,0,0,740.8800048828125,1,Body
"6666",9.0,1,1,0.9,0.844,0,0.0,4,0,0,740.8798828125,1,Body
"ODL 的营销和传播计划",11.039999961853027,0,0,1.1,0.216,0,0.0,49,0,0,82.20001220703125,1,Body
"所有利益攸关方对其职责的承诺",11.039999961853027,0,0,1.1,0.216,0,0.0,60,0,0,94.796630859375,1,Body
"制定本商业计划的过程必须具有极强的协商性，以确保",11.039999961853027,0,0,1.1,0.147,0,0.0,90,0,0,120.12237548828125,1,Body
"所有利益相关者都参与创建协同的 ODL 组织。",11.039999961853027,0,0,1.1,0.147,0,0.0,72,0,0,132.8404541015625,1,Body
"提案必须",11.039999961853027,1,1,1.1,0.696,0,0.0,17,0,0,132.8404541015625,1,Body
"说明将如何处理这一协商过程。",11.039999961853027,1,1,1.1,0.147,0,0.0,58,0,0,145.43707275390625,1,Body
"ODL的商业计划必须解决重大问题。例如，存在",11.039999961853027,0,0,1.1,0.147,0,0.0,86,0,0,170.7628173828125,1,Body
"授权提供服务的图书馆可用的财政资源存在巨大差异",11.039999961853027,0,0,1.1,0.147,0,0.0,90,0,0,183.35943603515625,1,Body
"类似的服务。一些专上和公共图书馆，特别是那些位于大城市的图书馆",11.039999961853027,0,0,1.1,0.147,0,0.0,93,0,0,196.0775146484375,1,Body
"地区，拥有为他们的服务所需必要的设施、资金和技术基础设施",11.039999961853027,0,0,1.1,0.147,0,0.0,95,0,0,208.67413330078125,1,Body
"提供电子服务和资源的顾客。许多其他顾客，尤其是在农村地区，则没有",11.039999961853027,0,0,1.1,0.147,0,0.0,95,0,0,221.270751953125,1,Body
"不。",11.039999961853027,0,0,1.1,0.147,0,0.0,4,0,0,233.98883056640625,1,Body
"提案必须说明将如何处理这些问题。",11.039999961853027,1,1,1.1,0.185,0,0.0,63,0,0,233.98883056640625,1,Body
"里程碑",12.0,0,0,1.2,0.157,0,0.0,10,0,0,283.32000732421875,1,H3
"1) 一份初步报告将于 2003 年 6 月发布。",11.039999961853027,1,1,1.1,0.177,0,0.0,56,0,1,312.9599914550781,1,Body
"2）预计一份适合分发给更广泛图书馆的中期报告",11.039999961853027,1,1,1.1,0.177,0,0.0,90,0,1,337.5570983886719,1,Body
"社区将于 2003 年 8 月 1 日前提供，并将有机会",11.039999961853027,1,1,1.1,0.206,0,0.0,83,0,0,350.2751770019531,1,Body
"供评估的答复。",11.039999961853027,1,1,1.1,0.206,0,0.0,30,0,0,362.871826171875,1,Body
"3) 该商业计划必须由ODL指导委员会完成并批准，",11.039999961853027,1,1,1.1,0.177,0,0.0,81,0,1,387.59039306640625,1,Body
"不迟于2003年9月30日。",11.039999961853027,1,1,1.1,0.206,0,0.0,33,0,0,400.1870422363281,1,Body
"方法及具体建议要求",12.0,0,0,1.2,0.163,0,0.0,43,0,0,436.79998779296875,1,H2
"该公司/顾问",11.039999961853027,0,0,1.1,0.147,0,0.0,19,0,0,466.55999755859375,1,Body
"（或拟议的顾问团队）",11.039999961853027,1,1,1.1,0.3,0,0.0,33,0,0,466.55999755859375,1,Body
"将有望与",11.039999961853027,0,0,1.1,0.563,0,0.0,37,0,0,466.55999755859375,1,Body
"ODL 指导委员会。委员会的职权范围见附录。",11.039999961853027,0,0,1.1,0.147,0,0.0,85,0,0,479.1566467285156,1,Body
"鉴于本次商业计划流程的协商性质，公司/顾问也将",11.039999961853027,0,0,1.1,0.147,0,0.0,94,0,0,491.8747253417969,1,Body
"预计将与各利益相关方以及",11.039999961853027,0,0,1.1,0.147,0,0.0,89,0,0,504.47137451171875,1,Body
"电子资源出版商/供应商。",11.039999961853027,0,0,1.1,0.147,0,0.0,39,0,0,517.0679931640625,1,Body
"提案应包括以下信息：",11.039999961853027,0,0,1.1,0.147,0,0.0,54,0,0,541.78662109375,1,Body
"a) 公司/顾问名称",11.039999961853027,0,0,1.1,0.177,0,0.0,30,0,0,566.3837280273438,1,Body
"b) 参与本项目的个人姓名及其具体情况",11.039999961853027,0,0,1.1,0.177,0,0.0,81,0,0,579.101806640625,1,Body
"本项目职责及相关经验/资历",11.039999961853027,0,0,1.1,0.177,0,0.0,71,0,0,591.6984252929688,1,Body
"c) 突出公司在商业方面经验的类似业务描述",11.039999961853027,0,0,1.1,0.177,0,0.0,86,0,0,604.2950439453125,1,Body
"规划和建立利益相关者承诺",11.039999961853027,0,0,1.1,0.177,0,0.0,44,0,0,617.0131225585938,1,Body
"d) 参考文献，并附有为这些参考文献完成的工作的详细信息",11.039999961853027,0,0,1.1,0.177,0,0.0,65,0,0,629.6097412109375,1,Body
"e) 完成商业计划所用方法的描述，",11.039999961853027,0,0,1.1,0.177,0,0.0,82,0,0,642.327880859375,1,Body
"包括时间表",11.039999961853027,0,0,1.1,0.177,0,0.0,20,0,0,654.9244995117188,1,Body
"f) 完成研究的成本，包括估计费用（即：差旅费等）和付款",11.039999961853027,0,0,1.1,0.177,0,0.0,9,0,0,680.2391967773438,1,Body
"RFP：制定安大略数字图书馆商业计划",7.559999942779541,1,1,0.76,0.147,0,0.0,57,0,0,740.8800048828125,1,Body
"2003年3月",7.559999942779541,1,1,0.76,0.485,1,0.0,10,0,0,740.8800048828125,1,Body
"7777",9.0,1,1,0.9,0.844,0,0.0,4,0,0,740.8798828125,1,Body
"评估与合同授予",12.0,0,0,1.2,0.157,0,0.0,35,0,0,94.20001220703125,1,H2
"合同将授予其提交的方案提供最佳价值的投标人；合同将",11.039999961853027,0,0,1.1,0.147,0,0.0,100,0,0,132.84002685546875,1,Body
"不一定授予最低报价的投标人。我们保留不将合同授予",11.039999961853027,0,0,1.1,0.147,0,0.0,98,0,0,145.55810546875,1,Body
"任何响应本招标文件的投标人，我们可能会寻求进一步的回应。",11.039999961853027,0,0,1.1,0.147,0,0.0,75,0,0,158.15472412109375,1,Body
"具体而言，提案将根据以下标准进行评估：",11.039999961853027,0,0,1.1,0.147,0,0.0,88,0,0,182.7518310546875,1,Body
"提案质量/开展业务规划过程的方法概述",11.039999961853027,0,0,1.1,0.206,0,0.0,88,0,0,220.1884765625,1,Body
"已证明的经验",11.039999961853027,0,0,1.1,0.206,0,0.0,23,0,0,232.90655517578125,1,Body
"成本，包括费用",11.039999961853027,0,0,1.1,0.206,0,0.0,24,0,0,245.503173828125,1,Body
"时间表和预计完成日期",11.039999961853027,0,0,1.1,0.206,0,0.0,38,0,0,258.09979248046875,1,Body
"由 ODL 指导委员会确定的其他相关因素",11.039999961853027,0,0,1.1,0.206,0,0.0,66,0,0,271.30364990234375,1,Body
"有关此 RFP 的问题应仅通过电子邮件发送给 Michael Ridley",11.039999961853027,0,0,1.1,0.147,0,0.0,80,0,0,296.6183776855469,1,Body
"(mridley@uoguelph.ca).",11.039999961853027,0,0,1.1,0.147,0,0.0,22,0,0,309.3364562988281,1,Body
"投标人不得联系 ODL 催化剂团队或 ODL 指导委员会的任何其他成员",11.039999961853027,0,0,1.1,0.147,0,0.0,94,0,0,334.65118408203125,1,Body
"委员会。",11.039999961853027,0,0,1.1,0.147,0,0.0,10,0,0,347.2478332519531,1,Body
"RFP：制定安大略数字图书馆商业计划",7.559999942779541,1,1,0.76,0.147,0,0.0,57,0,0,740.8800048828125,1,Body
"2003年3月",7.559999942779541,1,1,0.76,0.485,1,0.0,10,0,0,740.8800048828125,1,Body
"8888",9.0,1,1,0.9,0.844,0,0.0,4,0,0,740.8798828125,1,Body
"附录 A：ODL 设想的阶段和资金",12.0,0,0,1.2,0.147,0,0.0,44,0,0,120.719970703125,1,Body
"第一阶段：业务规划",9.960000038146973,1,0,1.0,0.147,0,0.0,27,0,0,148.7996826171875,1,Body
"时间表：",9.960000038146973,1,0,1.0,0.147,0,0.0,9,0,0,171.837158203125,1,H3
"2003年3月 – 2003年9月",9.960000038146973,1,1,1.0,0.219,0,0.0,27,0,0,171.837158203125,1,Body
"申请资金：",9.960000038146973,1,0,1.0,0.147,0,0.0,18,0,0,183.3609619140625,1,Body
"约10万美元，由利益相关方团体和省政府共同资助。",9.960000038146973,1,1,1.0,0.306,0,0.0,77,0,0,183.36090087890625,1,Body
"结果：",9.960000038146973,1,0,1.0,0.147,0,0.0,7,0,0,206.27886962890625,1,Body
"ODL 商业计划",9.960000038146973,1,1,1.0,0.204,0,0.0,21,0,0,206.27886962890625,1,Body
"第一阶段是制定ODL商业计划。该计划将明确定义ODL的服务，",9.960000038146973,0,0,1.0,0.147,0,0.0,105,0,0,229.43585205078125,1,Body
"资金和治理结构，以及2003-2005年的实施计划。它还将确保",9.960000038146973,0,0,1.0,0.147,0,0.0,101,0,0,240.9595947265625,1,Body
"所有利益相关者的全面承诺，并为 ODL 2006 年及以后的运营计划确定范围。",9.960000038146973,0,0,1.0,0.147,0,0.0,99,0,0,252.48333740234375,1,Body
"鉴于所涉利益相关者的数量和多样性，业务规划过程必须是完全的",9.960000038146973,0,0,1.0,0.147,0,0.0,102,0,0,275.40130615234375,1,Body
"协商方法。为确保规划产生一个可行的计划，并得到充分的承诺",9.960000038146973,0,0,1.0,0.147,0,0.0,102,0,0,286.9250183105469,1,Body
"所有利益相关方都必须有称职、敬业的员工和差旅费用",9.960000038146973,0,0,1.0,0.147,0,0.0,92,0,0,298.44873046875,1,Body
"沟通部分在协商过程中至关重要。",9.960000038146973,0,0,1.0,0.147,0,0.0,63,0,0,309.9724426269531,1,Body
"第二阶段：实施与转型",9.960000038146973,1,0,1.0,0.147,0,0.0,40,0,0,344.29461669921875,1,H3
"时间表：",9.960000038146973,1,0,1.0,0.147,0,0.0,9,0,0,367.33209228515625,1,H3
"2004年4月 – 2006年12月",9.960000038146973,1,1,1.0,0.219,0,0.0,26,0,0,367.33209228515625,1,Body
"申请资金：",9.960000038146973,1,0,1.0,0.147,0,0.0,18,0,0,378.8558044433594,1,Body
"其他州和省的资金表明 ODL 可以获得",9.960000038146973,1,1,1.0,0.306,0,0.0,74,0,0,378.85577392578125,1,Body
"资金高达 5000 万美元（为期 3 年）。资金由政府、图书馆合作提供",9.960000038146973,1,1,1.0,0.147,0,0.0,102,0,0,390.3794860839844,1,Body
"利益相关者和其他有关方面。",9.960000038146973,1,1,1.0,0.147,0,0.0,42,0,0,401.78369140625,1,Body
"结果：",9.960000038146973,1,0,1.0,0.147,0,0.0,7,0,0,424.8211669921875,1,Body
"ODL 已实施并验证",9.960000038146973,1,1,1.0,0.204,0,0.0,36,0,0,424.8211669921875,1,Body
"第二阶段将根据商业计划实施ODL。此阶段认识到",9.960000038146973,0,0,1.0,0.147,0,0.0,95,0,0,447.9781799316406,1,Body
"为了使 ODL 取得最佳成功，图书馆必须过渡到一种新的业务方式和",9.960000038146973,0,0,1.0,0.147,0,0.0,100,0,0,459.50189208984375,1,Body
"提供服务。过渡必须在图书馆继续提供现有服务的同时进行",9.960000038146973,0,0,1.0,0.147,0,0.0,103,0,0,470.9060974121094,1,Body
"应对当前的挑战。这个实施阶段将由政府合作资助，",9.960000038146973,0,0,1.0,0.147,0,0.0,100,0,0,482.4298095703125,1,Body
"图书馆利益相关者和其他有关方面作为快速启动 ODL 的一种方式。",9.960000038146973,0,0,1.0,0.147,0,0.0,90,0,0,493.9535217285156,1,Body
"所要求的种子资金将使图书馆能够重新调整其预算和服务，因为基础设施",9.960000038146973,0,0,1.0,0.147,0,0.0,105,0,0,516.990966796875,1,Body
"ODL 的内容已经创建并得到保障。",9.960000038146973,0,0,1.0,0.147,0,0.0,46,0,0,528.3952026367188,1,Body
"部分资金将是新资金，尽管有",9.960000038146973,1,1,1.0,0.476,1,0.0,53,0,0,528.3952026367188,1,Body
"种种迹象表明，现有的预算和运作方式可能会因",9.960000038146973,1,1,1.0,0.147,0,0.0,97,0,0,539.7994384765625,1,Body
"建议",9.960000038146973,1,1,1.0,0.147,0,0.0,15,0,0,551.3231201171875,1,Body
"。”在此阶段，政策、程序、治理结构和问责制",9.960000038146973,0,0,1.0,0.271,0,0.0,85,0,0,551.3231201171875,1,Body
"ODL 的机制将到位。试点项目将启动、评估和扩大。",9.960000038146973,0,0,1.0,0.147,0,0.0,101,0,0,562.9663696289062,1,Body
"信息资源将被确定，这些资源的合同将被谈判和资源",9.960000038146973,0,0,1.0,0.147,0,0.0,104,0,0,574.4901123046875,1,Body
"将通过 ODL 进行部署。在此阶段的定期评估将确保 ODL 是",9.960000038146973,0,0,1.0,0.147,0,0.0,98,0,0,586.0137939453125,1,Body
"实现其目标并对其关键社区负责。",9.960000038146973,0,0,1.0,0.147,0,0.0,67,0,0,597.5374755859375,1,Body
"第三阶段：ODL 的运营与发展",9.960000038146973,1,0,1.0,0.147,0,0.0,40,0,0,620.3359375,1,H3
"时间表：",9.960000038146973,1,0,1.0,0.147,0,0.0,9,0,0,643.3734130859375,1,H3
"2007年1月 -",9.960000038146973,1,1,1.0,0.219,0,0.0,14,0,0,643.3734130859375,1,Body
"资金：",9.960000038146973,1,0,1.0,0.147,0,0.0,8,0,0,654.8971557617188,1,Body
"每年5000万美元（向政府申请3500万美元）",9.960000038146973,1,1,1.0,0.218,0,0.0,60,0,0,654.8971557617188,1,Body
"结果：",9.960000038146973,1,0,1.0,0.147,0,0.0,7,0,0,677.815185546875,1,Body
"ODL 已全面运作并可持续发展",9.960000038146973,1,1,1.0,0.204,0,0.0,44,0,0,677.815185546875,1,Body
"在第三阶段，ODL 进入运营阶段。安大略省居民将体验到全部好处",9.960000038146973,0,0,1.0,0.147,0,0.0,104,0,0,700.9721069335938,1,Body
"图书馆将围绕ODL巩固支持，以增加资源并扩大",9.960000038146973,0,0,1.0,0.147,0,0.0,100,0,0,712.495849609375,1,Body
"RFP：制定安大略数字图书馆商业计划",7.559999942779541,1,1,0.76,0.147,0,0.0,57,0,0,740.8800048828125,1,Body
"2003年3月",7.559999942779541,1,1,0.76,0.485,1,0.0,10,0,0,740.8800048828125,1,Body
"9999",9.0,1,1,0.9,0.844,0,0.0,4,0,0,740.8798828125,1,Body
"能力。挑战在于确保足够的资源，既能维持最初的投资，又能",9.960000038146973,0,0,1.0,0.147,0,0.0,106,0,0,81.239990234375,1,Body
"以增强 ODL。",9.960000038146973,0,0,1.0,0.147,0,0.0,19,0,0,92.76373291015625,1,Body
"ODL 的持续资金将基于一个涉及所有关键参与者的合作模式",9.960000038146973,0,0,1.0,0.147,0,0.0,102,0,0,115.68170166015625,1,Body
"（即政府、图书馆、捐助者、公共和私营部门）。所有参与者（即受益者）都",9.960000038146973,0,0,1.0,0.147,0,0.0,107,0,0,127.2054443359375,1,Body
"预计将为 ODL 提供财务捐助。要实现",9.960000038146973,0,0,1.0,0.147,0,0.0,104,0,0,138.72918701171875,1,Body
"ODL 对安大略省经济、社会和学习支持的全面影响，所有图书馆部门都必须参与",9.960000038146973,0,0,1.0,0.147,0,0.0,96,0,0,150.2529296875,1,Body
"（大学、学院、公共图书馆和学校）。",9.960000038146973,0,0,1.0,0.147,0,0.0,53,0,0,161.77667236328125,1,Body
"拟议的资金模式需要政府持续投资，但也认识到",9.960000038146973,0,0,1.0,0.147,0,0.0,99,0,0,179.29632568359375,1,Body
"随着ODL的成熟，ODL资金中越来越大的份额将来自图书馆和非政府组织",9.960000038146973,0,0,1.0,0.147,0,0.0,92,0,0,190.70037841796875,1,Body
"来源。在为期 3 年的实施阶段（2004 年至 2006 年），图书馆将调整其预算以",9.960000038146973,0,0,1.0,0.147,0,0.0,101,0,0,202.22412109375,1,Body
"实现对 ODL 的持续资金贡献。在同一时期，ODL 必须建立拟议的",9.960000038146973,0,0,1.0,0.147,0,0.0,95,0,0,213.74786376953125,1,Body
"捐赠基金并获得公共和私营部门的捐赠和/或实物捐助。下图",9.960000038146973,0,0,1.0,0.147,0,0.0,102,0,0,225.2716064453125,1,Body
"概述了该模型。该模型基于以下假设：",9.960000038146973,0,0,1.0,0.147,0,0.0,61,0,0,236.79534912109375,1,Body
"1. ODL 支出将在 10 年内增加 50%",9.960000038146973,0,0,1.0,0.177,0,0.0,67,0,1,254.31500244140625,1,Body
"2. 在这10年期间，政府资金将从70%减少到45%",9.960000038146973,0,0,1.0,0.177,0,0.0,83,0,1,271.71514892578125,1,Body
"3. 图书馆捐款、捐赠基金和实物捐赠资金将从30%增加到55%",9.960000038146973,0,0,1.0,0.177,0,0.0,96,0,1,289.23480224609375,1,Body
"在同一时期",9.960000038146973,0,0,1.0,0.206,0,0.0,22,0,0,300.7585144042969,1,Body
"ODL 资金模式概述",9.960000038146973,1,0,1.0,0.402,0,0.0,29,1,0,329.6823425292969,1,Body
"资金来源",12.0,1,0,1.2,0.187,0,0.0,14,0,0,354.9599914550781,1,Body
"2007",12.0,1,0,1.2,0.512,1,0.0,4,0,0,354.9599914550781,1,Body
"2017",12.0,1,0,1.2,0.699,0,0.0,4,0,0,354.9599914550781,1,Body
"政府",9.960000038146973,0,0,1.0,0.187,0,0.0,10,0,0,367.44000244140625,1,Body
"3500万美元（70%）",9.960000038146973,0,0,1.0,0.491,1,0.0,10,1,0,367.44000244140625,1,Body
"3375万美元（45%）",9.960000038146973,0,0,1.0,0.667,0,0.0,13,1,0,367.44000244140625,1,Body
"图书馆",9.960000038146973,0,0,1.0,0.187,0,0.0,9,0,0,379.4418029785156,1,Body
"1000万美元（20%）",9.960000038146973,0,0,1.0,0.491,1,0.0,10,1,0,379.4418029785156,1,Body
"2250万美元（30%）",9.960000038146973,0,0,1.0,0.671,0,0.0,12,1,0,379.4418029785156,1,Body
"捐赠基金",9.960000038146973,0,0,1.0,0.187,0,0.0,9,0,0,391.443603515625,1,Body
